name_pov_2,ZSID_POVadm2,WBG_P2_pov_hcr,WBG_P2_pov_year,WBG_P2_hc_GPW,WBG_P2original_POP,WBG_P2original_POP_POV,WBG_P2original_METHOD
TA Tengani,1469,84.743103,2010,32071.475,34576,29301,Survey+Census
TA Mbenje,1470,79.132401,2010,38526.422,43538,34453,Survey+Census
TA Malemia,1471,81.905899,2010,19766.049,17711,14506,Survey+Census
TA Ngabu,1472,87.853302,2010,10349.426,11489,10093,Survey+Census
TA Makoko,1473,90.974098,2010,7289.0835,7369,6704,Survey+Census
Mwabvi Game Reserve,1474,84.765099,2010,5499.8442,5699,4831,Survey+Census
Nsanje Boma,1475,61.737301,2010,11252.5,19518,12050,Survey+Census
TA Nsamala,1476,60.188301,2010,130885.55,170482,102610,Survey+Census
TA Kalembo,1477,61.831799,2010,85962.328,122586,75797,Survey+Census
Balaka Town,1478,23.3713,2010,5258.4683,21381,4997,Survey+Census
TA Dambe,1479,66.952003,2010,19270.699,24620,16484,Survey+Census
TA Mlauli,1480,75.776398,2010,21888.645,24847,18828,Survey+Census
TA Symon,1481,56.186798,2010,24849.785,38647,21715,Survey+Census
TA Ngozi/Chekucheku,1482,57.9305,2010,12236.056,17469,10120,Survey+Census
Neno Boma,1483,57.9305,2010,777.67328,1467,850,Survey+Census
Mbedza Ward,1484,12.8774,2010,605.49884,3433,442,Survey+Census
Mtiya Ward,1485,6.9400001,2010,889.44135,7834,544,Survey+Census
Masongola Ward,1486,5.6500001,2010,108.081,784,44,Survey+Census
Chikamveka Ward,1487,7.0500002,2010,350.97934,2780,196,Survey+Census
Chikamveka North Ward,1488,19.250799,2010,3605.0076,13149,2531,Survey+Census
Chirunga East Ward,1489,14.3257,2010,583.65485,6694,959,Survey+Census
Chirunga Ward,1490,5.6500001,2010,313.28683,1920,108,Survey+Census
Likangala Ward,1491,10.8085,2010,1473.5171,12504,1351,Survey+Census
Zakazaka Ward,1492,4.0300002,2010,339.98523,5370,216,Survey+Census
Zomba Central Ward,1493,1.37,2010,43.443558,2244,31,Survey+Census
Chambo Ward,1494,9.8699999,2010,948.4566,4247,419,Survey+Census
Sadzi Ward,1495,11.0248,2010,377.11499,8855,976,Survey+Census
Likangala Central Ward,1496,14.2084,2010,990.25812,7566,1075,Survey+Census
Likangala South Ward,1497,14.2084,2010,190.65387,1460,207,Survey+Census
Michiru Ward,1498,9.3299999,2010,5209.6084,44119,4116,Survey+Census
South Lunzu Ward,1499,9.6899996,2010,4526.8662,36831,3569,Survey+Census
Mapanga  Ward,1500,8.8699999,2010,2759.0652,22942,2035,Survey+Census
Nkolokoti Ward,1501,9.0900002,2010,2689.897,33945,3086,Survey+Census
Ndirande North Ward,1502,8.1000004,2010,4983.563,27640,2239,Survey+Census
Ndirande South Ward,1503,6.4099998,2010,2254.958,62533,4008,Survey+Census
Ndirande West Ward,1504,6.3299999,2010,1607.0627,14708,931,Survey+Census
Nyambadwe  Ward,1505,2.54,2010,153.79451,7604,193,Survey+Census
Likhubula Ward,1506,6.1500001,2010,4015.3284,49493,3044,Survey+Census
Chilomoni Ward,1507,6.1799998,2010,1830.4186,35367,2186,Survey+Census
Blantyre West Ward,1508,8.3999996,2010,2198.8967,22200,1865,Survey+Census
Blantyre Central Ward,1509,1.26,2010,114.08205,4468,56,Survey+Census
Blantyre East Ward,1510,2.54,2010,357.43521,1657,42,Survey+Census
Chichiri Ward,1511,.88099998,2010,108.62992,4746,42,Survey+Census
Mzedi Ward,1512,15.8608,2010,4093.9968,12684,2012,Survey+Census
Bangwe Ward,1513,6.54,2010,2579.4568,33704,2204,Survey+Census
Namiyango Ward,1514,9.6599998,2010,1926.4615,18232,1761,Survey+Census
Limbe East Ward,1515,8.0600004,2010,2705.9116,37023,2984,Survey+Census
Limbe Central Ward,1516,.36300001,2010,23.788013,2705,10,Survey+Census
Limbe West Ward,1517,1.3,2010,242.25179,12034,156,Survey+Census
Soche East Ward,1518,.23899999,2010,39.405422,13456,32,Survey+Census
Soche West Ward,1519,4.6599998,2010,1777.277,48327,2252,Survey+Census
Nancholi Ward,1520,10.5929,2010,1355.6885,23569,2497,Survey+Census
Misesa Ward,1521,21.0487,2010,4679.1123,30094,6334,Survey+Census
Chigumula Ward,1522,19.7806,2010,3864.5261,22965,4543,Survey+Census
Msamba Ward,1523,46.7416,2010,1562.9634,4246,1985,Survey+Census
